epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.037,1.0849,2.8378,1.36811,0,0,0,0,0.65488,3.29055,1.07457,6e-05,6e-05,6e-05
2,180.874,1.19426,2.73295,1.40535,0.00417,0.83333,0.20686,0.14494,0.64064,3.29342,1.1427,0.00013538,0.00013538,0.00013538
3,252.595,1.0291,2.36152,1.32386,0.00417,0.83333,0.33605,0.26761,0.78009,3.22787,1.15521,0.00020548,0.00020548,0.00020548
4,281.782,1.06679,2.11246,1.37175,0.00417,0.83333,0.57162,0.42871,0.81471,3.07715,1.1858,0.0002703,0.0002703,0.0002703
5,294.192,1.01058,1.83571,1.30331,1,0.21219,0.57325,0.41308,0.94843,2.9745,1.34027,0.00032984,0.00032984,0.00032984
6,305.579,1.03765,1.65822,1.28712,0.6318,0.14923,0.45533,0.32325,0.92732,2.95763,1.37424,0.0003841,0.0003841,0.0003841
7,317.054,1.02525,1.70748,1.35537,0.64352,0.41667,0.57402,0.32986,1.04775,2.87428,1.42106,0.00043308,0.00043308,0.00043308
8,327.302,1.00686,1.52885,1.29096,0.61315,0.58333,0.51223,0.27979,1.15334,2.78477,1.55991,0.00047678,0.00047678,0.00047678
9,337.275,0.97568,1.47427,1.2903,0.57804,0.58333,0.49218,0.29076,1.18626,2.71421,1.61364,0.0005152,0.0005152,0.0005152
10,360.246,1.01852,1.46683,1.33407,1,0.16406,0.16593,0.11615,1.05141,2.57324,1.46266,0.00054834,0.00054834,0.00054834
11,436.475,0.96111,1.37759,1.25134,0,0,0,0,0.94021,2.48788,1.39062,0.0005762,0.0005762,0.0005762
12,534.739,1.01711,1.37442,1.31952,0.92664,0.41667,0.47043,0.34513,0.98443,2.24771,1.41361,0.00059878,0.00059878,0.00059878
13,553.608,0.91491,1.27702,1.22177,0.88625,0.65084,0.67884,0.50486,0.96665,2.10527,1.3347,0.00061608,0.00061608,0.00061608
14,563.69,0.98137,1.28235,1.28746,0.8543,0.58333,0.64074,0.52619,0.82315,2.0984,1.19921,0.0006281,0.0006281,0.0006281
15,571.724,0.98375,1.2928,1.27465,0.87245,0.57141,0.64528,0.5235,0.80866,2.03629,1.1565,0.00063484,0.00063484,0.00063484
16,577.973,1.00224,1.22637,1.29366,0.87245,0.57141,0.64528,0.5235,0.80866,2.03629,1.1565,0.0006363,0.0006363,0.0006363
17,585.366,0.91336,1.20589,1.27861,0.84334,0.5,0.60835,0.45708,0.88254,2.23582,1.1893,0.00063248,0.00063248,0.00063248
18,593.277,0.94233,1.22697,1.27192,0.57728,0.57002,0.53735,0.37898,1.08569,2.24373,1.30998,0.00062338,0.00062338,0.00062338
19,599.285,0.92124,1.25467,1.25462,0.57728,0.57002,0.53735,0.37898,1.08569,2.24373,1.30998,0.000609,0.000609,0.000609
20,609.111,0.95662,1.17025,1.21208,0.59991,0.49983,0.48471,0.32965,1.12156,2.46774,1.36241,0.00058934,0.00058934,0.00058934
