epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2636,1.31622,2.71975,1.56459,0.02267,0.85,0.19192,0.10549,1.02703,2.82593,1.24533,6e-05,6e-05,6e-05
2,19.7096,1.26423,2.8474,1.4895,0.02333,0.875,0.24442,0.13993,1.07493,2.83843,1.31576,0.000137228,0.000137228,0.000137228
3,24.8613,1.27171,2.60641,1.61238,0.02333,0.875,0.25146,0.14206,1.06938,2.8617,1.31929,0.000211288,0.000211288,0.000211288
4,31.859,1.30138,2.4854,1.64019,0.02333,0.875,0.2388,0.13679,1.1567,2.88624,1.39791,0.00028218,0.00028218,0.00028218
5,40.5634,1.08937,2.33395,1.36519,0.024,0.9,0.24292,0.14819,1.1383,2.83117,1.40175,0.000349904,0.000349904,0.000349904
6,48.8445,0.93721,1.96778,1.29291,0.024,0.9,0.36294,0.18758,1.15102,2.76072,1.38767,0.00041446,0.00041446,0.00041446
7,54.8399,1.23465,1.97354,1.51081,0.024,0.9,0.36294,0.18758,1.15102,2.76072,1.38767,0.000475848,0.000475848,0.000475848
8,63.6687,1.18842,1.92435,1.55889,0.83635,0.25588,0.40016,0.21002,1.17044,2.68763,1.39155,0.000534068,0.000534068,0.000534068
9,69.6326,1.147,1.61897,1.38913,0.9226,0.15,0.38413,0.19846,1.2215,2.63732,1.44936,0.00058912,0.00058912,0.00058912
10,81.9358,0.99623,1.85335,1.3701,0.9226,0.15,0.38413,0.19846,1.2215,2.63732,1.44936,0.000641004,0.000641004,0.000641004
11,89.3866,1.07293,1.47804,1.35572,0.71142,0.225,0.32685,0.18405,1.32684,2.59272,1.52921,0.00068972,0.00068972,0.00068972
12,97.116,0.97039,1.4861,1.39779,0.71142,0.225,0.32685,0.18405,1.32684,2.59272,1.52921,0.000735268,0.000735268,0.000735268
13,105.268,1.06964,1.97238,1.42081,0.71819,0.225,0.29517,0.17071,1.38504,2.57895,1.56949,0.000777648,0.000777648,0.000777648
14,112.049,1.16743,1.55014,1.47433,0.71819,0.225,0.29517,0.17071,1.38504,2.57895,1.56949,0.00081686,0.00081686,0.00081686
15,119.641,1.02921,1.61677,1.32975,0.86051,0.275,0.3617,0.21328,1.38725,2.41518,1.59488,0.000852904,0.000852904,0.000852904
16,131.847,1.01168,1.45687,1.31175,0.86051,0.275,0.3617,0.21328,1.38725,2.41518,1.59488,0.00088578,0.00088578,0.00088578
17,145.44,1.07022,1.57836,1.40783,0.86051,0.275,0.3617,0.21328,1.38725,2.41518,1.59488,0.000915488,0.000915488,0.000915488
18,156.049,0.97363,1.58131,1.29085,0.87484,0.34951,0.43002,0.22189,1.44193,2.41171,1.66675,0.000942028,0.000942028,0.000942028
19,163.222,1.10276,1.48136,1.39595,0.87484,0.34951,0.43002,0.22189,1.44193,2.41171,1.66675,0.0009654,0.0009654,0.0009654
20,169.895,1.03409,1.48785,1.45699,0.87484,0.34951,0.43002,0.22189,1.44193,2.41171,1.66675,0.000985604,0.000985604,0.000985604
21,175.573,0.9759,1.42323,1.2858,0.87484,0.34951,0.43002,0.22189,1.44193,2.41171,1.66675,0.00100264,0.00100264,0.00100264
22,183.29,0.92621,1.38767,1.32644,0.67398,0.3,0.37948,0.20302,1.49857,2.38562,1.63883,0.00101651,0.00101651,0.00101651
23,191.16,1.01752,1.43435,1.34976,0.67398,0.3,0.37948,0.20302,1.49857,2.38562,1.63883,0.00102721,0.00102721,0.00102721
24,201.355,0.94041,1.44327,1.31221,0.67398,0.3,0.37948,0.20302,1.49857,2.38562,1.63883,0.00103474,0.00103474,0.00103474
25,207.124,1.07249,1.35987,1.32026,0.67398,0.3,0.37948,0.20302,1.49857,2.38562,1.63883,0.0010391,0.0010391,0.0010391
26,216.71,1.01024,1.38701,1.28233,0.68233,0.35,0.39685,0.20081,1.48768,2.19299,1.61247,0.00101,0.00101,0.00101
27,231.914,1.12568,1.49656,1.40584,0.82678,0.375,0.45119,0.23121,1.48768,2.19299,1.61247,0.0009704,0.0009704,0.0009704
28,416.975,0.89688,1.27573,1.31237,0.82678,0.375,0.45119,0.23121,1.48768,2.19299,1.61247,0.0009308,0.0009308,0.0009308
29,485.42,1.11292,1.38025,1.44445,0.82678,0.375,0.45119,0.23121,1.48768,2.19299,1.61247,0.0008912,0.0008912,0.0008912
30,501.703,0.99865,1.29986,1.32451,0.72487,0.275,0.29473,0.18457,1.38603,2.22195,1.54959,0.0008516,0.0008516,0.0008516
31,511.789,0.99768,1.29938,1.30998,0.7602,0.35,0.43511,0.26304,1.38603,2.22195,1.54959,0.000812,0.000812,0.000812
