epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,896.976,1.11006,1.77239,1.46556,0.52798,0.45854,0.4436,0.29181,1.08605,1.94559,1.57231,0.00052,0.00052,0.00052
2,1032.4,1.12535,1.57147,1.45673,0.50512,0.3585,0.31355,0.17937,1.4332,3.26695,2.09947,0.00104951,0.00104951,0.00104951
3,1111.78,1.21929,1.58963,1.52493,0.35572,0.36098,0.25072,0.10884,1.8758,5.55518,2.44812,0.00156832,0.00156832,0.00156832
4,1195.26,1.37032,1.72432,1.6761,0.35129,0.22439,0.1726,0.07831,1.79622,4.61601,2.32798,0.0019406,0.0019406,0.0019406
5,1294.03,1.26379,1.58697,1.55237,0.06411,0.36098,0.03413,0.01507,1.77025,13.7623,2.46714,0.0019208,0.0019208,0.0019208
6,1392.15,1.261,1.47054,1.56367,0.21946,0.12195,0.06907,0.03605,1.93122,10.7106,2.61874,0.001901,0.001901,0.001901
7,1501.99,1.27056,1.53766,1.57048,0.03208,0.1122,0.00955,0.00381,2.30644,13.9088,2.84311,0.0018812,0.0018812,0.0018812
8,1636.95,1.32833,1.5933,1.66461,0.19736,0.16098,0.09419,0.04669,1.93887,3.73578,2.51784,0.0018614,0.0018614,0.0018614
9,1768.54,1.25414,1.54602,1.61062,0.36055,0.2,0.15881,0.0841,1.6121,2.53,2.32399,0.0018416,0.0018416,0.0018416
10,1909.32,1.18761,1.47921,1.57323,0.469,0.20488,0.18834,0.09452,1.59702,2.03364,2.16972,0.0018218,0.0018218,0.0018218
11,2087.02,1.18629,1.43816,1.54208,0.30402,0.17561,0.12198,0.069,1.52448,1.89032,2.05501,0.001802,0.001802,0.001802
12,2294.65,1.1633,1.43068,1.51949,0.44336,0.16098,0.15952,0.0958,1.36183,1.65982,1.86895,0.0017822,0.0017822,0.0017822
13,2515.05,1.14531,1.46352,1.54227,0.33084,0.14634,0.12732,0.07222,1.36223,1.66345,1.8795,0.0017624,0.0017624,0.0017624
14,2830.62,1.13839,1.41427,1.47533,0.34488,0.0878,0.07498,0.03992,1.29675,2.04482,1.77707,0.0017426,0.0017426,0.0017426
15,3118.86,1.15514,1.48201,1.51901,0.32276,0.06512,0.06374,0.03469,1.41802,1.92472,1.9617,0.0017228,0.0017228,0.0017228
16,3469.79,1.13166,1.35646,1.5047,0.25955,0.13171,0.09971,0.05232,1.36991,1.78012,1.89593,0.001703,0.001703,0.001703
17,3882.45,1.12951,1.35831,1.506,0.28183,0.09268,0.06771,0.0373,1.32511,1.6294,1.80053,0.0016832,0.0016832,0.0016832
18,4117.11,1.09383,1.33017,1.49116,0.53283,0.13911,0.14534,0.07583,1.23956,1.5968,1.72096,0.0016634,0.0016634,0.0016634
19,4486.53,1.07216,1.25323,1.44732,0.16599,0.06341,0.03425,0.01659,1.26989,1.73019,1.70622,0.0016436,0.0016436,0.0016436
20,4884.43,1.0909,1.30516,1.4657,0.18517,0.03902,0.03338,0.01919,1.35358,1.67426,1.86836,0.0016238,0.0016238,0.0016238
21,5323.3,1.09341,1.29319,1.4868,0.32602,0.03902,0.03906,0.0227,1.30318,1.49416,1.77634,0.001604,0.001604,0.001604
